Qty;Value;Device;Package;Parts;Description
1;;BUZZER-HCM;BUZZER-HCM;Y2;
1;;NPN-SOT23;SOT23;T1;
2;;PIN2X1B;PIN2X1B;CON3, CON4;
1;;PIN6X1C;PIN6X1C;CON1;
1;;SJ;SJ;RESET-EN;SMD solder JUMPER
3;;SW_SMD;MICROSW_SMD;SW1, SW2, SW3;
6;*;C0603;603;C10, C16, C17, C18, C19, C20;
1;*;R0603;603;R15;
1;0R;R0603;603;R22;
1;0R;R0805;805;R27;
1;100k;R0603;603;R24;
10;100n;C0603;603;C3, C4, C5, C6, C7, C21, C30, C31, C32, C33;
2;100u/25V;CE_SMD6.3;CE_SMD6.3;C14, C15;kondensator elektrolityczny
13;10k;R0603;603;R4, R5, R6, R10, R11, R14, R17, R18, R19, R20, R21, R23, R26;
1;10x1F-H8.5;PIN10X1C;PIN10X1C;JP6;
1;1M;R0603;603;R1;
5;1k;R0603;603;R2, R3, R7, R8, R9;
3;1u;C0603;603;C23, C26, C29;
1;22p;C0603;603;C1;
4;22u;C1206;1206;C2, C8, C11, C12;
1;24k9;R0603;603;R12;
3;2u2;C0603;603;C22, C25, C28;
1;3n9;C0603;603;C9;
3;470p;C0603;603;C13, C24, C27;
1;4k75;R0603;603;R13;
1;560k;R0603;603;R16;
2;8x1F-H8.5;PIN8X1C;PIN8X1C;POWER, PWML;
1;ATMEGA2560-16AU;ATMEGA2560-16AU;TQFP100;IC4;MICROCONTROLLER
2;BD6221F-E2;BD6221F-E2;SO08;IC8, IC9;
1;CONN;LED0805;D0805;D5;
1;CSTCE16M0V53-R0 16MHZ;RESONATORMU;RESONATOR;Y1;
1;DATA;LED0805;D0805;D4;
1;ISP-AVR;ISP-AVR;PIN3X2;CON11;
1;LED;LED0805;D0805;D3;
1;MIC5205-3.3YM5;MIC5205-3.3YM5;SOT23-5;IC7;LDO
1;MIC5205-3.6YM5;MIC5205-3.6YM5;SOT23-5;IC6;LDO
1;MIC5205-5.0YM5;MIC5205-5.0YM5;SOT23-5;IC3;LDO
;;;;;
1;NCP3170ADR2G;NCP3170ADR2G;SO08;IC1;
;;;;;
1;PIN(1+16)X3_DS;PIN(1+16)X3_DS;PIN(1+16)X3_DS;CON2;
1;PWR;LED0805;D0805;D2;
1;RN-42;RN-42;RN42;IC2;
1;RST;SW_SMD;MICROSW_SMD;SW4;
1;SRN8040-100M;SRN8040-100M;SRN8040;L1;
1;UG-2864HSWEG01_SPI;UG-2864HSWEG01_SPI;UG-2864HSWEG01;IC5;
